Node Number	Total Deformation (m)
452	0.20925
453	0.20929
454	0.20935
455	0.20942
456	0.2095
457	0.20958
458	0.20967
459	0.20977
460	0.20986
461	0.20995
462	0.21002
463	0.21009
464	0.21015
465	0.21019
466	0.21022
467	0.21023
468	0.21022
469	0.21019
470	0.21015
471	0.21009
472	0.21003
473	0.20995
474	0.20986
475	0.20977
476	0.20968
477	0.20959
478	0.20949
479	0.19003
480	0.18994
481	0.18987
482	0.18982
483	0.18979
484	0.18978
485	0.18979
486	0.18982
487	0.18987
488	0.18994
489	0.19003
490	0.19013
491	0.19024
492	0.19035
493	0.19046
494	0.19058
495	0.19069
496	0.19079
497	0.19087
498	0.19094
499	0.19099
500	0.19102
501	0.19103
502	0.19102
503	0.19099
504	0.19094
505	0.19087
506	0.19078
507	0.19068
508	0.19058
509	0.19046
510	0.19034
511	0.19023
512	0.19012
513	0.13735
514	0.13738
515	0.13727
516	0.13733
517	0.13745
518	0.13757
519	0.13737
520	0.13736
521	0.13778
522	0.13782
523	0.13766
524	0.13772
525	0.13782
526	0.13791
527	0.13779
528	0.13781
529	0.1378
530	0.13767
531	0.13792
532	0.13787
533	0.13727
534	0.1373
535	0.13752
536	0.13736
537	0.13728
538	0.13728
539	0.13726
540	0.13724
541	0.13722
542	0.13727
543	0.13722
544	0.13721
545	0.18993
546	0.18989
547	0.18985
548	0.1898
549	0.18977
550	0.18974
551	0.18972
552	0.1897
553	0.18968
554	0.18967
555	0.18966
556	0.18966
557	0.18967
558	0.18968
559	0.1897
560	0.18972
561	0.18974
562	0.18977
563	0.18981
564	0.18985
565	0.18989
566	0.18993
567	0.18999
568	0.19004
569	0.1901
570	0.19016
571	0.19021
572	0.19027
573	0.19033
574	0.19038
575	0.19044
576	0.1905
577	0.19055
578	0.1906
579	0.19065
580	0.1907
581	0.19074
582	0.19078
583	0.19081
584	0.19085
585	0.19088
586	0.1909
587	0.19091
588	0.19092
589	0.19093
590	0.19093
591	0.19092
592	0.19091
593	0.1909
594	0.19087
595	0.19084
596	0.19081
597	0.19078
598	0.19074
599	0.1907
600	0.19065
601	0.1906
602	0.19055
603	0.1905
604	0.19044
605	0.19038
606	0.19032
607	0.19026
608	0.19021
609	0.19015
610	0.19009
611	0.19004
612	0.18998
613	0.17824
614	0.17834
615	0.17864
616	0.17836
617	0.17839
618	0.17872
619	0.17875
620	0.17906
621	0.17886
622	0.17881
623	0.17893
624	0.17916
625	0.17914
